model,user_id,time_window_days,profile_type,total_claims,unsupported_claims,unsupported_claim_rate,claimed_genres,unsupported_genres,claimed_countries,unsupported_countries,claimed_years,unsupported_years,claimed_artists,unsupported_artists,genre_token_coverage
gemini,user_000015,365,rec_optimized,29,4,0.13793103448275862,21,4,0,0,0,0,8,0,0.5769230769230769
gemini,user_000016,30,user_facing,14,4,0.2857142857142857,13,3,0,0,0,0,1,1,0.2857142857142857
gemini,user_000016,30,rec_optimized,35,8,0.22857142857142856,22,7,0,0,0,0,13,1,0.42857142857142855
gemini,user_000016,90,user_facing,10,1,0.1,10,1,0,0,0,0,0,0,0.2916666666666667
gemini,user_000016,90,rec_optimized,25,4,0.16,12,3,1,0,0,0,12,1,0.2916666666666667
gemini,user_000016,180,user_facing,12,5,0.4166666666666667,10,3,0,0,0,0,2,2,0.2608695652173913
gemini,user_000016,180,rec_optimized,19,4,0.21052631578947367,11,3,1,0,0,0,7,1,0.30434782608695654
gemini,user_000016,365,user_facing,10,2,0.2,10,2,0,0,0,0,0,0,0.2608695652173913
gemini,user_000016,365,rec_optimized,23,4,0.17391304347826086,11,3,1,0,0,0,11,1,0.2608695652173913
gemini,user_000017,30,user_facing,9,1,0.1111111111111111,6,0,2,0,0,0,1,1,0.30434782608695654
gemini,user_000017,30,rec_optimized,24,5,0.20833333333333334,16,4,2,0,0,0,6,1,0.6086956521739131
gemini,user_000017,90,user_facing,12,3,0.25,6,1,1,0,0,0,5,2,0.2631578947368421
gemini,user_000017,90,rec_optimized,21,6,0.2857142857142857,9,4,1,0,0,0,11,2,0.3684210526315789
gemini,user_000017,180,user_facing,11,3,0.2727272727272727,7,1,2,0,0,0,2,2,0.4
gemini,user_000017,180,rec_optimized,23,6,0.2608695652173913,9,3,2,0,0,0,12,3,0.4
gemini,user_000017,365,user_facing,14,2,0.14285714285714285,10,1,1,0,0,0,3,1,0.5333333333333333
gemini,user_000017,365,rec_optimized,23,4,0.17391304347826086,10,1,1,0,0,0,12,3,0.5333333333333333
gemini,user_000020,30,user_facing,15,4,0.26666666666666666,9,2,2,0,2,0,2,2,0.2857142857142857
gemini,user_000020,30,rec_optimized,40,8,0.2,22,6,1,0,0,0,17,2,0.7619047619047619
gemini,user_000020,90,user_facing,11,2,0.18181818181818182,7,0,2,0,0,0,2,2,0.21739130434782608
gemini,user_000020,90,rec_optimized,35,7,0.2,27,6,2,0,0,0,6,1,0.8695652173913043
gemini,user_000020,180,user_facing,11,1,0.09090909090909091,6,0,1,0,2,0,2,1,0.21739130434782608
gemini,user_000020,180,rec_optimized,33,6,0.18181818181818182,23,5,2,0,4,0,4,1,0.6956521739130435
gemini,user_000020,365,user_facing,12,2,0.16666666666666666,9,1,1,0,0,0,2,1,0.30434782608695654
gemini,user_000020,365,rec_optimized,34,9,0.2647058823529412,28,8,2,0,0,0,4,1,0.8260869565217391
gemini,user_000021,30,user_facing,18,6,0.3333333333333333,17,5,0,0,0,0,1,1,0.375
gemini,user_000021,30,rec_optimized,40,15,0.375,34,13,1,0,0,0,5,2,0.75
gemini,user_000021,90,user_facing,21,6,0.2857142857142857,17,4,0,0,2,0,2,2,0.42105263157894735
gemini,user_000021,90,rec_optimized,36,8,0.2222222222222222,29,6,1,0,2,0,4,2,0.8947368421052632
gemini,user_000021,180,user_facing,20,6,0.3,19,5,0,0,0,0,1,1,0.5454545454545454
gemini,user_000021,180,rec_optimized,42,9,0.21428571428571427,34,8,2,0,5,0,1,1,1.0
gemini,user_000021,365,user_facing,21,7,0.3333333333333333,20,6,0,0,0,0,1,1,0.4090909090909091
gemini,user_000021,365,rec_optimized,29,5,0.1724137931034483,22,5,2,0,0,0,5,0,0.5454545454545454
gemini,user_000022,30,user_facing,17,8,0.47058823529411764,13,6,2,0,0,0,2,2,0.1724137931034483
gemini,user_000022,30,rec_optimized,38,11,0.2894736842105263,32,10,3,0,0,0,3,1,0.7931034482758621
gemini,user_000022,90,user_facing,18,9,0.5,15,7,1,0,0,0,2,2,0.1935483870967742
gemini,user_000022,90,rec_optimized,32,14,0.4375,30,13,1,0,0,0,1,1,0.5806451612903226
gemini,user_000022,180,user_facing,16,7,0.4375,6,2,5,0,2,2,3,3,0.10344827586206896
gemini,user_000022,180,rec_optimized,39,14,0.358974358974359,32,12,3,0,0,0,4,2,0.6896551724137931
gemini,user_000022,365,user_facing,11,3,0.2727272727272727,8,2,2,0,0,0,1,1,0.1724137931034483
gemini,user_000022,365,rec_optimized,43,14,0.32558139534883723,33,12,2,0,0,0,8,2,0.7241379310344828
gemini,user_000023,30,user_facing,16,2,0.125,10,1,0,0,0,0,6,1,0.25
gemini,user_000023,30,rec_optimized,29,4,0.13793103448275862,17,2,1,0,0,0,11,2,0.4
gemini,user_000023,90,user_facing,15,1,0.06666666666666667,10,1,0,0,0,0,5,0,0.23684210526315788
gemini,user_000023,90,rec_optimized,28,4,0.14285714285714285,15,1,1,0,0,0,12,3,0.42105263157894735
gemini,user_000023,180,user_facing,7,1,0.14285714285714285,7,1,0,0,0,0,0,0,0.20930232558139536
gemini,user_000023,180,rec_optimized,29,6,0.20689655172413793,21,4,1,0,0,0,7,2,0.5116279069767442
gemini,user_000023,365,user_facing,13,3,0.23076923076923078,10,1,1,0,0,0,2,2,0.20930232558139536
gemini,user_000023,365,rec_optimized,30,5,0.16666666666666666,20,3,1,0,0,0,9,2,0.46511627906976744
gemini,user_000024,30,user_facing,14,5,0.35714285714285715,14,5,0,0,0,0,0,0,0.4666666666666667
gemini,user_000024,30,rec_optimized,24,7,0.2916666666666667,16,7,1,0,0,0,7,0,0.4666666666666667
gemini,user_000024,90,user_facing,14,5,0.35714285714285715,9,2,1,0,0,0,4,3,0.26666666666666666
gemini,user_000024,90,rec_optimized,39,14,0.358974358974359,26,13,1,0,8,0,4,1,0.8666666666666667
gemini,user_000024,180,user_facing,9,2,0.2222222222222222,3,0,0,0,0,0,6,2,0.15384615384615385
gemini,user_000024,180,rec_optimized,25,7,0.28,15,6,2,0,3,0,5,1,0.5384615384615384
gemini,user_000024,365,user_facing,10,3,0.3,5,0,2,0,0,0,3,3,0.23076923076923078
gemini,user_000024,365,rec_optimized,32,13,0.40625,24,12,2,0,0,0,6,1,1.0
gemini,user_000025,30,user_facing,15,3,0.2,10,0,2,0,0,0,3,3,0.2571428571428571
gemini,user_000025,30,rec_optimized,29,5,0.1724137931034483,19,3,2,0,0,0,8,2,0.4
gemini,user_000025,90,user_facing,20,4,0.2,13,2,0,0,0,0,7,2,0.2857142857142857
gemini,user_000025,90,rec_optimized,34,8,0.23529411764705882,22,6,4,0,1,0,7,2,0.42857142857142855
gemini,user_000025,180,user_facing,15,4,0.26666666666666666,13,2,0,0,0,0,2,2,0.2857142857142857
gemini,user_000025,180,rec_optimized,26,4,0.15384615384615385,17,3,0,0,0,0,9,1,0.34285714285714286
gemini,user_000025,365,user_facing,14,3,0.21428571428571427,9,0,2,0,0,0,3,3,0.22857142857142856
gemini,user_000025,365,rec_optimized,43,13,0.3023255813953488,28,11,2,0,3,0,10,2,0.45714285714285713
gemini,user_000029,30,user_facing,10,2,0.2,5,0,1,0,0,0,4,2,0.2
gemini,user_000029,30,rec_optimized,23,5,0.21739130434782608,13,1,2,0,1,0,7,4,0.52
gemini,user_000029,90,user_facing,16,4,0.25,7,0,2,0,0,0,7,4,0.2727272727272727
gemini,user_000029,90,rec_optimized,22,3,0.13636363636363635,9,0,2,0,0,0,11,3,0.3181818181818182
gemini,user_000029,180,user_facing,14,3,0.21428571428571427,7,0,2,0,2,0,3,3,0.2608695652173913
gemini,user_000029,180,rec_optimized,34,5,0.14705882352941177,17,1,3,0,0,0,14,4,0.7391304347826086
gemini,user_000029,365,user_facing,16,4,0.25,7,0,2,0,0,0,7,4,0.2608695652173913
gemini,user_000029,365,rec_optimized,21,3,0.14285714285714285,7,0,2,0,0,0,12,3,0.2608695652173913
gemini,user_000030,30,user_facing,14,4,0.2857142857142857,7,1,3,0,1,0,3,3,0.19047619047619047
gemini,user_000030,30,rec_optimized,52,16,0.3076923076923077,40,14,3,0,1,0,8,2,0.6190476190476191
gemini,user_000030,90,user_facing,12,4,0.3333333333333333,10,2,0,0,0,0,2,2,0.2857142857142857
gemini,user_000030,90,rec_optimized,27,7,0.25925925925925924,20,5,0,0,0,0,7,2,0.6071428571428571
gemini,user_000030,180,user_facing,8,2,0.25,5,0,1,0,0,0,2,2,0.21428571428571427
gemini,user_000030,180,rec_optimized,37,8,0.21621621621621623,21,5,3,1,0,0,13,2,0.6428571428571429
gemini,user_000030,365,user_facing,14,5,0.35714285714285715,11,2,0,0,0,0,3,3,0.32142857142857145
gemini,user_000030,365,rec_optimized,29,7,0.2413793103448276,22,5,2,0,0,0,5,2,0.6785714285714286
gemini,user_000031,30,user_facing,16,5,0.3125,12,3,0,0,0,0,4,2,0.2682926829268293
gemini,user_000031,30,rec_optimized,26,8,0.3076923076923077,22,7,1,0,0,0,3,1,0.3902439024390244
gemini,user_000031,90,user_facing,8,1,0.125,5,0,0,0,0,0,3,1,0.175
gemini,user_000031,90,rec_optimized,29,6,0.20689655172413793,20,5,2,0,0,0,7,1,0.4
gemini,user_000031,180,user_facing,30,9,0.3,18,7,2,0,0,0,10,2,0.36585365853658536
gemini,user_000031,180,rec_optimized,38,8,0.21052631578947367,27,8,0,0,0,0,11,0,0.5365853658536586
gemini,user_000031,365,user_facing,7,1,0.14285714285714285,3,0,1,0,0,0,3,1,0.12195121951219512
gemini,user_000031,365,rec_optimized,31,6,0.1935483870967742,23,5,1,0,0,0,7,1,0.4878048780487805
gemini,user_000033,30,user_facing,21,9,0.42857142857142855,18,8,2,0,0,0,1,1,0.39285714285714285
gemini,user_000033,30,rec_optimized,45,13,0.28888888888888886,33,11,3,0,0,0,9,2,0.8571428571428571
gemini,user_000033,90,user_facing,15,3,0.2,11,2,3,0,0,0,1,1,0.34615384615384615
gemini,user_000033,90,rec_optimized,36,9,0.25,24,8,3,0,0,0,9,1,0.6538461538461539
gemini,user_000033,180,user_facing,13,4,0.3076923076923077,6,2,3,0,0,0,4,2,0.19230769230769232
gemini,user_000033,180,rec_optimized,47,19,0.40425531914893614,38,18,3,0,0,0,6,1,0.8461538461538461
gemini,user_000033,365,user_facing,10,3,0.3,5,1,3,0,0,0,2,2,0.19230769230769232
gemini,user_000033,365,rec_optimized,43,16,0.37209302325581395,33,15,3,0,0,0,7,1,0.7692307692307693
gemini,user_000035,30,user_facing,11,1,0.09090909090909091,9,0,1,0,0,0,1,1,0.2222222222222222
gemini,user_000035,30,rec_optimized,36,7,0.19444444444444445,28,7,1,0,0,0,7,0,0.5833333333333334
gemini,user_000035,90,user_facing,7,0,0.0,6,0,1,0,0,0,0,0,0.21052631578947367
gemini,user_000035,90,rec_optimized,31,4,0.12903225806451613,25,4,1,0,0,0,5,0,0.631578947368421
gemini,user_000035,180,user_facing,12,2,0.16666666666666666,10,1,1,0,0,0,1,1,0.2857142857142857
gemini,user_000035,180,rec_optimized,27,4,0.14814814814814814,25,3,1,0,0,0,1,1,0.7142857142857143
gemini,user_000035,365,user_facing,12,2,0.16666666666666666,8,1,1,0,2,0,1,1,0.22857142857142856
gemini,user_000035,365,rec_optimized,32,4,0.125,25,4,1,0,3,0,3,0,0.6857142857142857
gemini,user_000036,30,user_facing,14,3,0.21428571428571427,11,1,1,0,0,0,2,2,0.18421052631578946
gemini,user_000036,30,rec_optimized,28,6,0.21428571428571427,21,5,2,0,0,0,5,1,0.3684210526315789
gemini,user_000036,90,user_facing,14,1,0.07142857142857142,8,0,3,0,0,0,3,1,0.21052631578947367
gemini,user_000036,90,rec_optimized,35,6,0.17142857142857143,30,6,3,0,0,0,2,0,0.5789473684210527
gemini,user_000036,180,user_facing,19,2,0.10526315789473684,11,0,3,0,0,0,5,2,0.2702702702702703
gemini,user_000036,180,rec_optimized,29,1,0.034482758620689655,21,1,4,0,0,0,4,0,0.5405405405405406
gemini,user_000036,365,user_facing,6,1,0.16666666666666666,6,1,0,0,0,0,0,0,0.10810810810810811
gemini,user_000036,365,rec_optimized,25,0,0.0,18,0,3,0,0,0,4,0,0.4594594594594595
gemini,user_000037,30,user_facing,11,1,0.09090909090909091,5,0,4,0,1,0,1,1,0.16216216216216217
gemini,user_000037,30,rec_optimized,38,5,0.13157894736842105,31,5,2,0,1,0,4,0,0.8108108108108109
gemini,user_000037,90,user_facing,12,2,0.16666666666666666,5,0,5,0,0,0,2,2,0.20588235294117646
gemini,user_000037,90,rec_optimized,31,6,0.1935483870967742,23,4,2,0,0,0,6,2,0.6470588235294118
gemini,user_000037,180,user_facing,10,2,0.2,3,0,5,0,0,0,2,2,0.125
gemini,user_000037,180,rec_optimized,37,7,0.1891891891891892,24,5,3,0,0,0,10,2,0.6875
gemini,user_000037,365,user_facing,10,2,0.2,7,0,1,0,0,0,2,2,0.25
gemini,user_000037,365,rec_optimized,24,5,0.20833333333333334,17,3,1,0,0,0,6,2,0.5
gemini,user_000038,30,user_facing,7,2,0.2857142857142857,7,2,0,0,0,0,0,0,0.29411764705882354
gemini,user_000038,30,rec_optimized,21,1,0.047619047619047616,8,1,2,0,3,0,8,0,0.4117647058823529
gemini,user_000038,90,user_facing,15,6,0.4,14,5,0,0,0,0,1,1,0.4
gemini,user_000038,90,rec_optimized,24,4,0.16666666666666666,18,4,0,0,0,0,6,0,0.7
gemini,user_000038,180,user_facing,12,4,0.3333333333333333,9,3,0,0,2,0,1,1,0.35
gemini,user_000038,180,rec_optimized,34,5,0.14705882352941177,15,4,6,0,2,1,11,0,0.6
gemini,user_000038,365,user_facing,6,0,0.0,5,0,1,0,0,0,0,0,0.3
gemini,user_000038,365,rec_optimized,28,3,0.10714285714285714,15,3,2,0,0,0,11,0,0.65
gemini,user_000040,30,user_facing,12,3,0.25,7,1,3,0,0,0,2,2,0.2
gemini,user_000040,30,rec_optimized,39,14,0.358974358974359,36,14,3,0,0,0,0,0,0.8333333333333334
gemini,user_000040,90,user_facing,16,6,0.375,11,4,3,0,0,0,2,2,0.22580645161290322
gemini,user_000040,90,rec_optimized,39,10,0.2564102564102564,27,8,6,1,0,0,6,1,0.7096774193548387
gemini,user_000040,180,user_facing,13,5,0.38461538461538464,9,3,2,0,0,0,2,2,0.2727272727272727
gemini,user_000040,180,rec_optimized,28,4,0.14285714285714285,20,4,0,0,0,0,8,0,0.8181818181818182
gemini,user_000040,365,user_facing,15,5,0.3333333333333333,12,4,2,0,0,0,1,1,0.4090909090909091
gemini,user_000040,365,rec_optimized,38,9,0.23684210526315788,26,7,0,0,0,0,12,2,0.9545454545454546
gemini,user_000041,30,user_facing,8,1,0.125,7,0,0,0,0,0,1,1,0.29411764705882354
gemini,user_000041,30,rec_optimized,21,2,0.09523809523809523,15,2,2,0,0,0,4,0,0.47058823529411764
gemini,user_000041,90,user_facing,9,1,0.1111111111111111,5,0,3,0,0,0,1,1,0.14285714285714285
gemini,user_000041,90,rec_optimized,21,1,0.047619047619047616,10,0,3,0,0,0,8,1,0.3142857142857143
gemini,user_000041,180,user_facing,10,0,0.0,4,0,0,0,0,0,6,0,0.15384615384615385
gemini,user_000041,180,rec_optimized,19,1,0.05263157894736842,7,0,4,0,0,0,8,1,0.3076923076923077
gemini,user_000041,365,user_facing,10,1,0.1,8,0,1,0,0,0,1,1,0.3076923076923077
gemini,user_000041,365,rec_optimized,21,1,0.047619047619047616,9,0,1,0,2,0,9,1,0.34615384615384615
gemini,user_000044,30,user_facing,15,5,0.3333333333333333,14,4,0,0,0,0,1,1,0.23684210526315788
gemini,user_000044,30,rec_optimized,35,5,0.14285714285714285,23,5,2,0,0,0,10,0,0.5526315789473685
gemini,user_000044,90,user_facing,19,7,0.3684210526315789,14,5,3,0,0,0,2,2,0.24242424242424243
gemini,user_000044,90,rec_optimized,33,7,0.21212121212121213,24,6,1,0,0,0,8,1,0.5757575757575758
gemini,user_000044,180,user_facing,20,6,0.3,15,4,3,0,0,0,2,2,0.2727272727272727
gemini,user_000044,180,rec_optimized,22,2,0.09090909090909091,12,1,0,0,0,0,10,1,0.3333333333333333
gemini,user_000044,365,user_facing,18,6,0.3333333333333333,16,5,1,0,0,0,1,1,0.2727272727272727
gemini,user_000044,365,rec_optimized,33,4,0.12121212121212122,20,3,1,0,0,0,12,1,0.5151515151515151
gemini,user_000046,30,user_facing,15,1,0.06666666666666667,11,1,1,0,0,0,3,0,0.2
gemini,user_000046,30,rec_optimized,48,12,0.25,43,11,1,0,0,0,4,1,0.7142857142857143
gemini,user_000046,90,user_facing,20,4,0.2,19,3,0,0,0,0,1,1,0.46153846153846156
gemini,user_000046,90,rec_optimized,42,9,0.21428571428571427,26,5,2,0,0,0,14,4,0.5769230769230769
gemini,user_000046,180,user_facing,18,6,0.3333333333333333,10,3,5,0,0,0,3,3,0.23076923076923078
gemini,user_000046,180,rec_optimized,32,4,0.125,21,2,2,0,0,0,9,2,0.5769230769230769
gemini,user_000046,365,user_facing,21,4,0.19047619047619047,17,3,0,0,0,0,4,1,0.34615384615384615
gemini,user_000046,365,rec_optimized,54,11,0.2037037037037037,35,7,5,0,0,0,14,4,0.8461538461538461
gemini,user_000053,30,user_facing,15,0,0.0,4,0,4,0,0,0,7,0,0.12121212121212122
gemini,user_000053,30,rec_optimized,26,3,0.11538461538461539,11,1,4,0,0,0,11,2,0.2727272727272727
gemini,user_000053,90,user_facing,10,2,0.2,9,1,0,0,0,0,1,1,0.21428571428571427
gemini,user_000053,90,rec_optimized,25,3,0.12,18,1,2,0,0,0,5,2,0.4523809523809524
gemini,user_000053,180,user_facing,15,5,0.3333333333333333,12,2,0,0,0,0,3,3,0.275
gemini,user_000053,180,rec_optimized,30,5,0.16666666666666666,22,3,1,0,0,0,7,2,0.525
gemini,user_000053,365,user_facing,11,3,0.2727272727272727,9,1,0,0,0,0,2,2,0.225
gemini,user_000053,365,rec_optimized,34,6,0.17647058823529413,26,4,3,0,0,0,5,2,0.55
gemini,user_000054,30,user_facing,14,4,0.2857142857142857,14,4,0,0,0,0,0,0,0.36
gemini,user_000054,30,rec_optimized,29,3,0.10344827586206896,15,2,2,0,0,0,12,1,0.48
gemini,user_000054,90,user_facing,11,2,0.18181818181818182,8,1,2,0,0,0,1,1,0.25
gemini,user_000054,90,rec_optimized,25,6,0.24,19,4,2,0,0,0,4,2,0.5833333333333334
gemini,user_000054,180,user_facing,9,2,0.2222222222222222,5,0,2,0,0,0,2,2,0.2
gemini,user_000054,180,rec_optimized,26,4,0.15384615384615385,15,2,2,0,0,0,9,2,0.52
gemini,user_000054,365,user_facing,14,4,0.2857142857142857,12,2,0,0,0,0,2,2,0.4
gemini,user_000054,365,rec_optimized,24,4,0.16666666666666666,15,2,2,0,0,0,7,2,0.52
gemini,user_000055,30,user_facing,11,2,0.18181818181818182,7,0,2,0,0,0,2,2,0.18421052631578946
gemini,user_000055,30,rec_optimized,30,4,0.13333333333333333,19,2,3,0,1,0,7,2,0.47368421052631576
gemini,user_000055,90,user_facing,11,2,0.18181818181818182,8,1,2,0,0,0,1,1,0.25
gemini,user_000055,90,rec_optimized,28,5,0.17857142857142858,23,4,1,0,0,0,4,1,0.6875
gemini,user_000055,180,user_facing,14,2,0.14285714285714285,8,1,3,0,0,0,3,1,0.25
gemini,user_000055,180,rec_optimized,21,1,0.047619047619047616,18,1,2,0,0,0,1,0,0.59375
gemini,user_000055,365,user_facing,10,2,0.2,6,1,3,0,0,0,1,1,0.1875
gemini,user_000055,365,rec_optimized,36,8,0.2222222222222222,31,7,3,0,1,0,1,1,0.84375
gemini,user_000056,30,user_facing,9,1,0.1111111111111111,9,1,0,0,0,0,0,0,0.24242424242424243
gemini,user_000056,30,rec_optimized,31,2,0.06451612903225806,20,1,2,0,0,0,9,1,0.5757575757575758
gemini,user_000056,90,user_facing,9,2,0.2222222222222222,5,0,2,0,0,0,2,2,0.20689655172413793
gemini,user_000056,90,rec_optimized,30,7,0.23333333333333334,23,6,2,0,0,0,5,1,0.6551724137931034
